genre_names,movie_count,avg_popularity,median_popularity
War,90,16.053333333333335,1.8915
Adventure,638,10.51376802507837,1.712
Family,173,8.847601156069365,1.17
Thriller,7680,7.653377213541666,1.632
Mystery,3138,7.582816124920331,1.4
Action,1966,6.357490844354018,1.6625
Science Fiction,2714,5.3226720707442885,1.9609999999999999
Fantasy,2195,5.280323006833712,1.12
Drama,4271,4.426638960430812,0.914
Crime,1153,4.364270598438855,1.4
Music,304,4.341592105263158,0.619
Horror,32543,4.013146913314691,0.84
TV Movie,674,3.60469881305638,1.89
History,130,3.485669230769231,0.9185
Comedy,4963,3.314298609711868,0.878
Animation,973,2.894489208633093,0.6
Western,133,2.8943458646616538,1.41
Romance,629,2.7510079491255963,0.988
Documentary,427,2.085791569086651,0.638
