genre_names,avg_vote_average,median_vote_average
Family,4.53757225433526,5.6
TV Movie,4.422255192878338,5.1
War,4.402222222222222,5.0
Adventure,4.210031347962382,4.8
Mystery,4.158413001912046,5.0
Thriller,4.133229166666667,4.9
Science Fiction,4.126602800294768,4.7
Crime,4.120555073720729,5.0
Action,4.028179043743641,4.6
Fantasy,3.8874259681093393,4.9
Drama,3.7655584172324983,4.7
History,3.7546153846153847,5.0
Western,3.7533834586466166,4.6
Romance,3.662957074721781,4.5
Comedy,3.434676606890993,4.0
Music,3.410197368421053,3.9
Horror,3.335356297821344,4.0
Animation,3.301027749229188,3.1
Documentary,3.2747072599531615,2.5
