genre_names,avg_vote_count,median_vote_count
Mystery,150.67941363926067,5.0
Action,138.4506612410987,6.0
Thriller,134.39205729166667,6.0
Science Fiction,133.40714812085483,9.0
War,127.27777777777777,5.0
Adventure,125.0987460815047,6.0
Fantasy,116.32118451025057,3.0
Crime,94.05637467476149,4.0
Drama,84.99695621634278,2.0
Family,71.60693641618496,3.0
Horror,62.6860154257444,2.0
History,54.315384615384616,1.0
Romance,52.61526232114468,2.0
Comedy,49.569212170058435,2.0
Western,37.962406015037594,5.0
Music,23.914473684210527,1.0
TV Movie,22.137982195845698,8.0
Animation,18.630010277492293,1.0
Documentary,5.243559718969555,1.0
